APP_ID,APP_NAME,CATEGORY,PRICE,CONTENT_RATING,DOWNLOADS,SIZE(M),CURRENT_VERSION,MIN_REQUIRED_ANDROID,LASTUPDATED,TOTAL_REVIEWS,AVERAGE_RATING,5RATING,4RATING,3RATING,2RATING,1RATING,DEVELOPER_SITE,DEVELOPER_CONTACT,DEVELOPER_NAME,Column1
air.com.adobe.connectpro,Adobe® Connect™ Mobile,Business,0,Everyone,"500,000 - 1,000,000",12,2.2.2,2.2,11/12/2013,1495,4.32,1012,210,120,47,106,https://twitter.com/ConnectSupport,da39a3ee5e6b4b0d3255bfef95601890afd80709,02a0f3f4b0251449056b54831904fddf3f74548c,http://www.adobe.com/go/privacy
air.com.adobe.contentviewer,Adobe® Content Viewer,Tools,0,Everyone,"500,000 - 1,000,000",12,3.4.0.0.91033,2.2,12/16/2013,1523,4.05,973,175,96,43,236,http://www.adobe.com/support/digitalpublishingsuite/,da39a3ee5e6b4b0d3255bfef95601890afd80709,02a0f3f4b0251449056b54831904fddf3f74548c,
air.com.adobe.pstouch,Adobe® Photoshop® Touch,Photography,10.49,Everyone,"50,000 - 100,000",46,1.5.1,3.1,11/5/2013,1621,3.8,768,331,178,123,221,http://www.adobe.com/go/pstouch,da39a3ee5e6b4b0d3255bfef95601890afd80709,02a0f3f4b0251449056b54831904fddf3f74548c,http://www.adobe.com/privacy/policy.html
air.com.adobe.pstouchphone,Photoshop Touch for phone,Photography,5.49,Everyone,"100,000 - 500,000",19,1.1.3,4,11/5/2013,2723,3.8,1344,524,261,159,435,http://www.adobe.com/products/photoshop-touch.html,da39a3ee5e6b4b0d3255bfef95601890afd80709,02a0f3f4b0251449056b54831904fddf3f74548c,http://www.adobe.com/go/privacy_policy_touchapps
air.com.bitrhymes.bingo,Bingo Bash - Free Bingo Casino,Cards and Casino,0,Low Maturity,"10,000,000 - 50,000,000",Varies with device,Varies with device,2.2,12/12/2013,154175,4.34,98984,29857,12755,3599,8980,http://www.bitrhymes.com,7b04da779660cdf69a3e099b701554bd95cc52a2,e99faba03ec8faae0402249e0aa0fdda02a8eca4,http://www.bitrhymes.com/privacy-policy/
air.com.bitrhymes.slotsbash.android,Slots Bash,Cards and Casino,0,Medium Maturity,"10,000 - 50,000",30,1.6.3,2.2,1/3/2014,858,4.13,495,159,95,38,71,http://www.bitrhymes.com,d9a3866b417be5c04f1e572747a0945e883c58b3,e99faba03ec8faae0402249e0aa0fdda02a8eca4,http://www.bashgaming.com/privacy-policy/
air.com.disney.aliceinwonderlandmobile.goo,Disney Alice in Wonderland,Casual,0,Everyone,"1,000,000 - 5,000,000",33,1.2.0,2.3,12/12/2013,9679,3.05,3426,884,1233,1031,3105,http://m.support.playdom.com/alice-faq.php,fde18c5c577e67a91562390030b520c6baead3d0,3feb1ce9764b33b4b72f25a3dda7c3484511ff41,http://corporate.disney.go.com/corporate/pp.html
air.com.disney.ghostsofmistwood.goo,Disney's Ghosts of Mistwood,Casual,0,Everyone,"500,000 - 1,000,000",36,1.2.5,2.3.3,12/4/2013,4840,3.45,2141,549,588,461,1101,http://m.support.playdom.com/ghosts-faq.php,fde18c5c577e67a91562390030b520c6baead3d0,3feb1ce9764b33b4b72f25a3dda7c3484511ff41,http://corporate.disney.go.com/corporate/pp.html
air.com.ea.game.monopolyslots_row,MONOPOLY Slots,Cards and Casino,0,Medium Maturity,"500,000 - 1,000,000",46,2.0.9,2.3.3,12/17/2013,18251,4.47,14166,1487,869,486,1243,http://www.ea.com/android,81d4af4fbae5651f6e1019bb208f6bb38e368745,4a0d2f0be338f90cd2f06976b33bda26d8539428,http://privacy.ea.com/en
air.com.ea.superherocity_row,Supreme Heroes: Card RPG,Arcade and Action,0,Medium Maturity,"100,000 - 500,000",45,1.0.5,2.3.3,9/3/2013,3439,4.23,2124,644,277,116,278,http://help.ea.com,da39a3ee5e6b4b0d3255bfef95601890afd80709,4a0d2f0be338f90cd2f06976b33bda26d8539428,http://+http://privacy.ea.com/en
